pid,smd_prp,Country,MPA,MPA_shr,AvgExp,socmed,ud_to_vis,est_vis,est_exp,corals,mangroves,beach,temp,dayshot,precip,daysrain,vis_log,protected,prop_land,wildlife,C3P,air_min_dist,ports_min_dist,ruins,sargassum,roads_min_dist
2836,0,Belize,NA,NA,148,smud_prop,15470069.331198437,0,0,0,0,0,26.75408363342285,7.67399263381958,2477.01953125,248.54579162597656,0,0,0,0,0.001217,105386.28606625093,68282.6258229092,0,0,16002.526752474912
2837,2.34272359e-7,Belize,NA,NA,148,smud_prop,15470069.331198437,3.62420963611341,536,0,0,0,26.8803653717041,7.613553047180176,2319.557373046875,243.45420837402344,1.531305466872124,0,0,0,0.001217,103815.51077102861,65879.569531191,0,0,18562.349892236653
2838,4.548969658e-6,Belize,NA,NA,148,smud_prop,15470069.331198437,70.37287599477804,10415,0,0,0,26.8803653717041,7.613553047180176,2319.557373046875,243.45420837402344,4.267917909141484,0,0,0,0.00153,102464.92801098719,63775.64899030545,0,0,21820.302452801687
2839,0,Belize,NA,NA,148,smud_prop,15470069.331198437,0,0,1,0,0,26.8803653717041,7.613553047180176,2319.557373046875,243.45420837402344,0,0,0.003719392683503,1,0.00153,101343.35406582279,62004.55307071317,0,0,25668.929392990856
2840,1.3646908975e-5,Belize,NA,NA,148,smud_prop,15470069.331198437,211.1186279998042,31246,1,0,0,26.8803653717041,7.613553047180176,2319.557373046875,243.45420837402344,5.357145684210128,0,0.007002135591842,1,0.001412,100458.47157714417,60595.49225903521,0,0,29873.025336899216
2841,0,Belize,NA,NA,148,smud_prop,15470069.331198437,0,0,0,0,0,26.8803653717041,7.613553047180176,2319.557373046875,243.45420837402344,0,0,0,1,0.001412,99816.5870760458,59574.18006787602,0,0,34298.25256030925
2842,0,Belize,NA,NA,148,smud_prop,15470069.331198437,0,0,0,0,0,26.114967346191406,0.080586083233356,98.79236602783203,25.873626708984375,0,0,0,0,0.001655,99422.41804366818,58960.78788962835,0,0,38867.19072432883
2843,0,Belize,NA,NA,148,smud_prop,15470069.331198437,0,0,0,0,0,26.114967346191406,0.080586083233356,98.79236602783203,25.873626708984375,0,0,0,0,0.001655,99278.92533179488,58768.107447868955,0,0,43533.574495248744
2844,0,Belize,NA,NA,148,smud_prop,15470069.331198437,0,0,0,0,0,26.114967346191406,0.080586083233356,98.79236602783203,25.873626708984375,0,0,0,0,0.001655,99387.20435246047,59000.276930465196,0,0,48268.571120226785
2845,0,Belize,NA,NA,148,smud_prop,15470069.331198437,0,0,0,0,0,26.114967346191406,0.080586083233356,98.79236602783203,25.873626708984375,0,0,0,0,0.001452,100232.48325657504,60061.59449440744,0,0,53053.475321783866
2846,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,26.114967346191406,0.080586083233356,98.79236602783203,25.873626708984375,0,0,0,0,0.001452,99746.44417311317,59652.35094508668,0,0,55623.42927953594
2847,0,Belize,NA,NA,148,smud_prop,15470069.331198437,0,0,0,0,0,26.114967346191406,0.080586083233356,98.79236602783203,25.873626708984375,0,0,0,0,0.001452,103953.54153248422,64009.913015471364,0,0,57875.70534176554
2848,4.548969658e-6,Honduras,NA,NA,60,smud_prop,8046969.5421636505,36.605420286152594,2196,0,0,0,26.114967346191406,0.080586083233356,98.79236602783203,25.873626708984375,3.627148196552904,0,0,0,0.001452,100353.95803618884,60710.81456892633,0,0,56769.164984757685
2849,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.887678146362305,0.009157509543002,98.72924041748047,26.14285659790039,0,0,0,0,0.001818,101205.28266984218,62154.921909725985,0,0,57870.728702423614
2850,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.887678146362305,0.009157509543002,98.72924041748047,26.14285659790039,0,0,0,0,0.001818,102294.33800536623,63958.56727747714,0,0,59085.58437481979
2851,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.887678146362305,0.009157509543002,98.72924041748047,26.14285659790039,0,0,0,0,0.001095,103613.63440847411,66092.33187445623,0,0,60696.095071331634
2852,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.887678146362305,0.009157509543002,98.72924041748047,26.14285659790039,0,0,0,0,0.001095,104301.94596016212,65715.66159943937,0,0,60672.87934378401
2853,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.887678146362305,0.009157509543002,98.72924041748047,26.14285659790039,0,0,0,0,0.00168,100602.55131843308,64841.74062413436,0,0,60252.371089754604
2854,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.887678146362305,0.009157509543002,98.72924041748047,26.14285659790039,0,0,0,0,0.00168,97019.99545497207,64345.844432936785,0,0,60252.581222217246
2855,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.900659561157227,0,98.70165252685547,26.619047164916992,0,0,0,0,0.001206,93567.70781670096,64236.73707133634,0,0,60254.36902064059
2856,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.900659561157227,0,98.70165252685547,26.619047164916992,0,0,0,0,0.001206,90260.64451392884,64516.38853045528,0,0,56097.36136527526
2857,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.900659561157227,0,98.70165252685547,26.619047164916992,0,0,0,0,0.001153,87115.35302481231,65179.80170902339,0,0,52092.00750513277
2858,2.34272359e-7,Honduras,NA,NA,60,smud_prop,8046969.5421636505,1.885182537443828,113,0,0,0,25.900659561157227,0,98.70165252685547,26.619047164916992,1.059588169169556,0,0,0,0.001153,84149.98148878866,66215.44840861957,0,0,48276.878654363376
2859,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.900659561157227,0,98.70165252685547,26.619047164916992,0,0,0,0,0.001153,81384.20525419242,67606.2287777204,0,0,44701.83270317701
2860,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,26.15000343322754,0.001831499976106,98.73174285888672,27.043956756591797,0,0,0,0,0.001324,78828.97218872038,69330.77758803364,0,0,41430.61667950982
2861,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,26.15000343322754,0.001831499976106,98.73174285888672,27.043956756591797,0,0,0,0,0.001769,76377.21026853351,66247.40347314895,0,0,38542.74413443374
2862,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,26.15000343322754,0.001831499976106,98.73174285888672,27.043956756591797,0,0,0,0,0.001769,74166.96056406233,61268.126610643805,0,0,36014.4955342991
2863,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,26.15000343322754,0.001831499976106,98.73174285888672,27.043956756591797,0,0,0,0,0.001769,72235.96838498785,56292.86890168308,0,0,33545.04376836246
2864,2.34272359e-7,Honduras,NA,NA,60,smud_prop,8046969.5421636505,1.885182537443828,113,0,0,0,26.15000343322754,0.001831499976106,98.73174285888672,27.043956756591797,1.059588169169556,0,0,0,0.001359,70607.1520454616,51322.80451982323,0,0,31562.72656411839
2865,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,26.400936126708984,0,53.76866912841797,11.690476417541504,0,0,0,0,0.001359,69301.82316377267,46359.60831160453,0,0,30309.04667747234
2866,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,26.400936126708984,0,53.76866912841797,11.690476417541504,0,0,0,0,0.001938,68338.52212640514,41405.75374374445,0,0,29879.05555978911
2867,4.548969658e-6,Honduras,NA,NA,60,smud_prop,8046969.5421636505,36.605420286152594,2196,0,0,0,26.400936126708984,0,53.76866912841797,11.690476417541504,3.627148196552904,0,0,0,0.001938,67731.8439901942,36465.050632803286,0,0,30308.774200790795
2868,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,26.400936126708984,0,53.76866912841797,11.690476417541504,0,0,0,0,0.001508,67491.40578058196,31543.68012333521,0,0,25674.01597486934
2869,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,26.400936126708984,0,53.76866912841797,11.690476417541504,0,0,0,0,0.001508,67621.11270266063,26652.352292386924,0,0,21215.09240212981
2870,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,26.400936126708984,0,53.76866912841797,11.690476417541504,0,0,0,0,0.001857,68118.8478923099,21811.283782770286,0,0,17078.933269411667
2871,1.3646908975e-5,Honduras,NA,NA,60,smud_prop,8046969.5421636505,109.81626086650476,6589,0,0,0,26.52000617980957,0,53.41111373901367,11.637362480163574,4.707873522268143,0,0,0,0.001857,68976.64138441428,17063.296461860584,0,0,12551.422136218058
2872,4.548969658e-6,Honduras,NA,NA,60,smud_prop,8046969.5421636505,36.605420286152594,2196,0,0,0,26.52000617980957,0,53.41111373901367,11.637362480163574,3.627148196552904,0,0,0,0.001462,70181.28776386323,12514.767054004737,0,0,8640.519882658029
2873,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,26.52000617980957,0,53.41111373901367,11.637362480163574,0,0,0,0,0.001462,71715.30530156965,8492.435180288547,0,0,3887.837599352729
2874,1.09175271801e-4,Honduras,NA,NA,60,smud_prop,8046969.5421636505,878.5300869400851,52712,0,0,0,26.52000617980957,0,53.41111373901367,11.637362480163574,6.779387772734148,0,0,0,0.002163,73558.08459687405,5723.452241174805,0,0,1000
2875,3.3662375472e-4,Honduras,NA,NA,60,smud_prop,8046969.5421636505,2708.8011014006074,162528,1,0,0,26.52000617980957,0,53.41111373901367,11.637362480163574,7.904630516863133,0,0,0,0.002163,75687.07009510494,4409.886124807613,0,0,1000
2876,4.23363639835e-4,Honduras,NA,NA,60,smud_prop,8046969.5421636505,3406.7943150117862,204408,1,1,1,26.83544921875,0,53.24042510986328,11.800366401672363,8.133820532551502,0,0.192590300930581,1,0.002163,78078.84632204517,3454.331653553993,0,0,1000
2877,0.001815560022073,Honduras,NA,NA,60,smud_prop,8046969.5421636505,14609.756199591397,876585,1,1,1,26.83544921875,0,53.24042510986328,11.800366401672363,9.589513262446456,0,0.631494062071344,0,0.001894,80597.33376462272,6074.494418288258,0,0,0
2878,8.63633572248e-4,Honduras,NA,NA,60,smud_prop,8046969.5421636505,6949.6330514696465,416978,1,1,1,26.83544921875,0,53.24042510986328,11.800366401672363,8.846588020953106,0,0.749649306250628,0,0.002427,83299.15850848581,10115.76036584277,0,0,0
2879,3.79079635439e-4,Honduras,NA,NA,60,smud_prop,8046969.5421636505,3050.4422804321334,183027,1,0,1,26.83544921875,0,53.24042510986328,11.800366401672363,8.023369636659705,0,0.241093877574812,0,0.002427,86206.7223205474,14757.78357686462,0,0,0
2880,1.8430150993e-5,Honduras,NA,NA,60,smud_prop,8046969.5421636505,148.30686369814816,8898,1,0,1,26.83544921875,0,53.24042510986328,11.800366401672363,5.00600367601455,0,0.02184261877511,0,0.002427,89299.92267821779,19577.765604081313,0,0,1000
2881,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,27.1038818359375,0.016483519226313,53.15792465209961,11.754578590393066,0,0,0,0,0.001931,92560.1416432345,24470.745646904634,0,0,6001.651118461283
2882,4.548969658e-6,Honduras,NA,NA,60,smud_prop,8046969.5421636505,36.605420286152594,2196,0,0,0,27.1038818359375,0.016483519226313,53.15792465209961,11.754578590393066,3.627148196552904,0,0,0,0.001931,95970.35012496708,29400.273921535372,0,0,11003.254187427327
2883,2.34272359e-7,Honduras,NA,NA,60,smud_prop,8046969.5421636505,1.885182537443828,113,0,0,0,27.1038818359375,0.016483519226313,53.15792465209961,11.754578590393066,1.059588169169556,0,0,0,0.00297,99515.1202115428,28008.925246120667,0,0,16004.806114294166
2884,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,27.1038818359375,0.016483519226313,53.15792465209961,11.754578590393066,0,0,0,0,0.00297,103180.5745004483,23228.26052453236,0,0,21006.303806608394
2885,0,Honduras,NA,NA,60,smud_prop,8046969.5421636505,0,0,0,0,0,27.1038818359375,0.016483519226313,53.15792465209961,11.754578590393066,0,0,0,0,0.002617,106954.29575474333,18564.35081879998,0,0,26007.744172097566
