pid,country,name_2,coral_prop,forest,beach,mangrove,wildlife,ruins,roads,develop,pa_min_dist
177,Honduras,Omoa,0,1,0,0,0,0,0,0,27864.304823547613
178,Honduras,Cuyamel,0.18867924528301888,0,0,0,0,0,0,0,26774.28179195858
179,Honduras,Cuyamel,0.390990990990991,0,0,0,0,0,0,0,23423.340273219874
180,Belize,Laughing Bird Caye,1,0,0,0,0,0,0,0,19520.2512837425
181,Belize,South Water Caye,1,0,0,0,0,0,0,0,17964.73203693896
182,Belize,South Water Caye,1,0,0,0,1,0,0,0,19178.54330566022
183,Belize,South Water Caye,1,0,0,1,0,0,0,0,23661.832372305027
184,Belize,South Water Caye,0.9626198083067092,0,0,1,0,0,0,0,21542.790475269914
185,Belize,South Water Caye,0,0,0,0,0,0,0,0,15396.760557052094
186,Belize,Hol Chan,0,0,0,0,0,0,0,0,20185.913680074224
187,Belize,Corozal Bay,0,0,0,1,0,0,0,0,18855.84488136274
188,Belize,Corozal Bay,0,0,0,0,0,0,0,0,13004.140653957513
189,Mexico,Ría Lagartos,0,0,0,1,1,0,0,0,1330.6602617183678
190,Mexico,Ría Lagartos,0,0,1,0,1,0,0,0,3133.0020845572535
191,Honduras,Omoa,0,1,0,0,0,0,0,0,26360.855031997417
192,Honduras,Omoa,0,1,0,0,0,0,0,0,27458.54291140766
193,Honduras,Cuyamel,0.4724903474903475,0,0,0,0,0,0,0,22401.043916506733
194,Belize,Laughing Bird Caye,0,0,0,0,0,0,0,0,21056.816409682768
195,Belize,South Water Caye,0.9194828092859242,0,0,1,0,0,0,0,20591.84923330584
196,Belize,South Water Caye,1,0,0,1,1,0,0,0,23261.34223846868
197,Belize,South Water Caye,0.9734133790737565,0,0,1,0,0,0,0,26422.10891663648
198,Belize,South Water Caye,0.9289993343687597,0,0,1,0,0,0,0,18424.564249395196
199,Belize,South Water Caye,0,0,0,0,0,0,0,0,13038.435952673468
200,Belize,Hol Chan,0,0,0,0,0,0,0,0,17626.555064579094
201,Belize,Hol Chan,0,0,0,0,0,0,0,0,19162.892166772606
202,Belize,Corozal Bay,0,0,0,1,0,0,0,0,18580.496827978215
203,Belize,Corozal Bay,0,1,0,1,0,0,0,1,17035.485620091422
204,Mexico,Ría Lagartos,0,0,0,1,1,0,1,1,362.7860813027683
205,Honduras,Omoa,0,1,0,0,0,0,0,0,25083.847564576845
206,Honduras,Omoa,0,1,0,0,0,0,0,0,22784.797420716804
207,Honduras,Cuyamel,0.3434343434343434,1,0,0,0,0,0,0,23565.481231469385
208,Honduras,Cuyamel,0,0,0,0,0,0,0,0,20301.818273348235
209,Honduras,Zona de Interconexion,0,0,0,0,0,0,0,0,18350.786675871084
210,Belize,South Water Caye,0,0,0,0,0,0,0,0,22961.01141235322
211,Belize,South Water Caye,1,0,0,0,0,0,0,0,23922.745959762433
212,Belize,South Water Caye,1,0,0,0,0,0,0,0,27647.125748317067
213,Belize,South Water Caye,0.9915045217867909,0,0,1,1,0,0,0,23420.089366210672
214,Belize,South Water Caye,0.9287280701754386,0,0,1,0,0,0,0,15913.625519427365
215,Belize,South Water Caye,0.9806451612903225,0,0,0,0,0,0,0,12634.789232215411
216,Belize,Hol Chan,0,0,0,0,0,0,0,0,15705.949774621504
217,Belize,Hol Chan,0,0,0,1,0,0,0,0,15205.44509225564
218,Belize,Corozal Bay,0,0,0,0,0,0,0,0,17741.632926498824
219,Belize,Corozal Bay,0,0,0,1,0,0,0,0,18248.249605089077
220,Belize,Corozal Bay,0,0,1,1,0,0,0,0,24182.466103474428
221,Belize,Corozal Bay,0,0,0,0,0,0,0,0,17131.844232153024
222,Mexico,Ría Lagartos,0,0,1,1,1,0,1,1,63.979224842800726
223,Honduras,Omoa,0,1,0,0,0,0,0,0,23986.48139347219
224,Honduras,Omoa,0,1,0,0,0,0,0,0,21637.883450369958
225,Honduras,Cuyamel,0.6102941176470589,1,1,1,0,0,0,0,20916.828061749897
226,Honduras,Zona de Interconexion,0.8929016189290162,1,1,1,0,0,1,0,18140.881912884353
227,Honduras,Zona de Interconexion,0,0,0,0,0,0,0,0,14889.458509206846
228,Belize,South Water Caye,0.8961442786069652,0,0,0,0,0,0,0,28417.188531988362
229,Belize,South Water Caye,0.7930849638166712,0,0,1,1,0,0,0,20911.22892882704
230,Belize,South Water Caye,0.963276836158192,0,0,1,1,0,0,0,14269.415667477133
231,Belize,Hol Chan,0,0,0,0,0,0,0,0,12626.555064579776
232,Belize,Hol Chan,0,0,0,0,0,0,0,0,14429.993865125698
233,Belize,Corozal Bay,0,0,0,1,0,0,0,0,13927.286588877352
234,Belize,Corozal Bay,0,0,1,1,1,0,0,0,19255.190596946224
235,Belize,Corozal Bay,0,0,1,1,0,0,0,0,26402.930192090273
236,Belize,Corozal Bay,0,0,1,1,0,0,0,0,24516.967507398425
