pid,MPA,beach,mangrove,wildlife,forest,ruins,roads,develop,cellarea,prop_coral,pa_min_dist,country
1386,NA,0,0,0,1,0,0,0,21650635.09461218,0,5976.334904330185,Guatemala
1387,NA,0,0,0,0,0,0,0,21650635.09461105,0,4187.727527259158,Guatemala
1388,NA,0,0,0,0,0,1,1,21650635.094616532,0,6260.3242479209985,Guatemala
1389,NA,0,0,0,0,0,1,1,21650635.094603896,0,9601.631836144992,Guatemala
1390,NA,0,0,0,0,0,1,1,21650635.09460759,0,13857.962220056776,Guatemala
1391,NA,0,0,0,0,0,1,1,21650635.094618797,0,17802.048436537825,Guatemala
1392,NA,0,0,0,0,0,0,0,21650635.0946092,0,22176.175057507953,Guatemala
1393,NA,0,0,0,0,0,0,0,4762373.837848127,0,26770.367046896434,Guatemala
1394,NA,0,0,0,0,0,0,1,4441141.090793848,0,28400.65701745701,Honduras
1395,NA,0,0,0,0,0,0,1,1363241.6102366447,0,34783.5690074587,Honduras
1396,NA,0,0,0,0,0,0,1,3086087.4044186473,0,36548.740565988395,Honduras
1397,NA,0,0,0,0,0,0,0,2031923.7053676844,0,31346.3214428098,Honduras
1398,NA,0,0,0,0,0,0,0,6520930.285640821,0,27458.54291140866,Honduras
1399,NA,0,0,0,0,0,0,0,6628548.903925131,0,23986.48139347133,Honduras
1400,NA,0,0,0,0,0,0,0,21650491.18621719,0,21134.682309141197,Honduras
1401,NA,0,0,0,0,0,0,1,21650635.09461546,0,18710.299205816555,Honduras
1402,NA,0,0,0,0,0,1,1,21650635.09461224,0,17217.868834234323,Honduras
1403,NA,0,0,0,0,0,0,1,21650635.09460807,0,17112.414149225,Honduras
1404,NA,0,0,0,0,0,0,1,21650635.094609857,0,18417.774806862817,Honduras
1405,NA,0,0,0,0,0,0,1,21650635.094614267,0,20772.653391312102,Honduras
1406,NA,0,0,0,0,0,0,0,21650635.094607472,0,23529.333916828255,Honduras
1407,NA,0,0,0,0,0,0,1,21650635.094610095,0,26925.996089120414,Honduras
1408,NA,0,0,0,0,0,0,0,21650635.094607115,0,23369.43341267467,Honduras
1409,NA,0,0,0,0,0,1,0,21650635.094612718,0,19546.992240621476,Honduras
1410,NA,0,0,0,0,0,0,0,21650635.094611287,0,16371.908663329099,Honduras
1411,NA,0,0,0,0,0,0,0,21650635.094611645,0,13863.26546021022,Honduras
1412,NA,0,0,0,0,0,0,0,21650635.09461856,0,12375.16128564541,Honduras
1413,NA,0,0,0,0,0,0,0,21650635.09460652,0,12810.11727000225,Honduras
1414,NA,0,0,0,0,0,0,0,21650635.094611287,0,14945.676743128965,Honduras
1415,NA,0,0,0,0,0,1,1,21650635.09461093,0,17659.4831119788,Honduras
1416,NA,0,0,0,0,0,1,0,21650635.09460962,0,21124.11428608761,Honduras
1417,NA,0,0,0,0,0,1,0,21650635.09461081,0,25079.365241390045,Honduras
1418,NA,0,0,0,0,0,0,0,21650635.094610095,0,29355.083332370592,Honduras
1419,NA,0,0,0,0,0,0,1,21650635.094616413,0,32485.432894227084,Honduras
1420,NA,0,0,0,0,0,1,1,21650635.09460509,0,27799.714395128634,Honduras
1421,NA,0,0,0,0,0,1,1,21650635.094616055,0,23245.319756372017,Honduras
1422,NA,0,0,0,0,0,1,1,21650635.094612956,0,18917.337569046776,Honduras
1423,NA,0,0,0,0,0,0,0,21650635.09460926,0,15012.875501601844,Honduras
1424,NA,0,0,0,0,0,0,0,21650635.09461081,0,11951.485204060991,Honduras
1425,NA,0,0,0,0,0,0,0,21650635.09461236,0,9604.296277196296,Honduras
1426,NA,0,0,0,0,0,0,0,21650635.094608903,0,9206.697404904977,Honduras
1427,NA,0,0,0,0,0,0,0,21650635.094608784,0,11203.562216592296,Honduras
1428,NA,0,0,0,0,0,0,0,21650635.09461534,0,13981.041138908935,Honduras
1429,NA,0,0,0,0,0,0,0,21650635.094610214,0,17459.551648414097,Honduras
1430,NA,0,0,0,0,0,0,0,21650635.0946064,0,21231.292341449185,Honduras
1431,NA,0,0,0,0,0,0,0,21650635.094611287,0,25430.289129550514,Honduras
1432,NA,0,0,0,0,0,1,0,21650635.09461224,0,29876.938195487266,Honduras
1433,NA,0,0,0,0,0,0,0,21650635.094607353,0,34475.54592260374,Honduras
