pid,country,name_2,cellarea,coral_prop,coral_prop25,coral_prop75,forest_prop,beach,wildlife,ruins,roads,develop,pa_min_dist,prop_mangrove_lg,prop_mangrove_deg_lg,prop_mangrove_deg_sm,prop_mangrove_sm
5546,Mexico,NA,21650635.094609976,0,0,0,0,0,0,0,0,0,19052.919283545543,0,0,0,0
5547,Mexico,NA,21650635.094609976,0,0,0,0,0,0,0,0,0,15473.624635391954,0,0,0,0
5548,Mexico,NA,21650635.09461212,0,0,0,0,0,0,0,0,0,15504.1696578091,0,0,0,0
5549,Mexico,NA,21650635.094611168,0,0,0,0,0,0,0,0,0,17925.454285831584,0,0,0,0
5550,Mexico,NA,21650635.094611168,0.1447608767851259,0.1447608767851259,0.1447608767851259,0.11823314513451064,1,0,0,1,1,10619.811565317303,0.0015842492241300592,0,0,0.0015842492241300592
5551,Mexico,NA,21650635.094609976,0,0,0,0.9960146130854408,0,0,0,0,0,6964.219495932279,0,0,0,0
5552,Mexico,NA,21650635.094609976,0,0,0,0.9959730986384132,0,0,0,0,0,9469.367090112888,0,0,0,0
5553,Mexico,NA,21650635.09461212,0,0,0,0.9960561275323695,0,0,0,1,0,15747.609522052679,0,0,0,0
5554,Mexico,NA,21650635.094611168,0,0,0,0.9959730986383584,0,0,0,0,0,22322.723223241323,0,0,0,0
5555,Mexico,NA,21650635.094611168,0,0,0,0.9960561275324135,0,0,0,0,0,29800.223871013008,0,0,0,0
5556,Mexico,NA,21650635.094609976,0,0,0,0.9041016273664025,0,0,0,1,1,33714.227833196855,0,0,0,0
5557,Mexico,NA,21650635.094609976,0,0,0,0.9480654267685984,0,0,0,0,0,32884.47959093119,0,0,0,0
5558,Mexico,NA,21650635.09461212,0,0,0,0.7768183327797982,0,0,0,0,0,33621.26622983215,0,0,0,0
5559,Mexico,NA,21650635.094611168,0,0,0,0.9221188973763168,0,0,0,0,0,26705.684325439335,0,0,0,0
5560,Mexico,NA,3545071.37540859,0,0,0,1,0,0,0,0,0,22690.326137638654,0,0,0,0
5561,Mexico,NA,809807.9092682749,0,0,0,0.9722814273758527,0,0,0,0,0,12756.328033781663,0,0,0,0
5562,Mexico,NA,19989606.354543876,0,0,0,0,0,0,0,0,0,34731.277089933465,0,0,0,0
5563,Mexico,NA,21650635.09461212,0,0,0,0,0,0,0,0,0,42436.557380424216,0,0,0,0
5564,Mexico,NA,21650635.094611168,0,0,0,0,0,0,0,0,0,50525.549429798804,0,0,0,0
5565,Mexico,NA,21650635.094611168,0,0,0,0,0,0,0,0,0,58777.55428787453,0,0,0,0
5566,Honduras,NA,21650635.094611228,0,0,0,0.9116572567253675,0,0,0,0,0,45498.30401854736,0,0,0,0
5567,Honduras,NA,21650635.094610274,0,0,0,0.7386665559615291,0,0,0,0,0,39123.02889722084,0,0,0,0
5568,Honduras,NA,21650635.094610274,0,0,0,0.33697276652277475,0,0,0,1,1,33723.38249905608,0,0,0,0
5569,Honduras,NA,21650635.094611585,0,0,0,0.09593988708070535,0,0,0,0,0,29898.522777261802,0,0,0,0
5570,Honduras,NA,21650635.094610274,0,0,0,0.19893723015610898,0,0,0,0,1,28294.46591380062,0,0,0,0
5571,Honduras,NA,21650635.094611228,0.0019926934573232073,0.0019926934573232073,0.0019926934573232073,0,0,0,0,0,0,28664.965132902504,0,0,0,0
5572,Honduras,NA,21650635.094610274,0,0,0,0,0,0,0,0,0,31278.352948249732,0,0,0,0
5573,Honduras,NA,21650635.094610274,0.07601295250747821,0.07601295250747821,0.07601295250747821,0,0,0,0,0,0,35846.76415299068,0,0,0,0
5574,Honduras,NA,21650635.094610274,0.062313184988380545,0.062313184988380545,0.062313184988380545,0,0,0,0,0,0,41733.02813509875,0,0,0,0
5575,Honduras,NA,21650635.094610274,0,0,0,0,0,0,0,0,0,48459.269231075,0,0,0,0
5576,Honduras,NA,21650635.094611585,0,0,0,0,0,0,0,0,0,55722.131254059015,0,0,0,0
5577,Honduras,NA,21650635.094610274,0,0,0,0,0,0,0,0,0,63227.4336871925,0,0,0,0
5578,Honduras,NA,21650635.094611228,0,0,0,0,0,0,0,0,0,66221.40162579334,0,0,0,0
5579,Mexico,NA,21650635.094610274,0,0,0,0,0,0,0,0,0,70954.67521893133,0,0,0,0
5580,Mexico,NA,21650635.094611228,0,0,0,0,0,0,0,0,0,68222.10310776821,0,0,0,0
5581,Mexico,NA,21650635.094610274,0,0,0,0,0,0,0,0,0,66512.74140696456,0,0,0,0
5582,Mexico,NA,21650635.094610274,0,0,0,0,0,0,0,0,0,65906.25301511817,0,0,0,0
5583,Mexico,NA,21650635.094611585,0,0,0,0,0,0,0,0,0,66045.76341562245,0,0,0,0
5584,Mexico,NA,21650635.094610274,0,0,0,0,0,0,0,0,0,60850.235871842735,0,0,0,0
5585,Mexico,NA,21650635.094610155,0,0,0,0,0,0,0,0,0,56510.70293462268,0,0,0,0
5586,Mexico,NA,21650635.094610274,0,0,0,0,0,0,0,0,0,53236.90342865037,0,0,0,0
5587,Mexico,NA,21650635.09461111,0,0,0,0,0,0,0,0,0,51233.545916497416,0,0,0,0
5588,Mexico,NA,21650635.094610274,0,0,0,0,0,0,0,0,0,50643.47994703698,0,0,0,0
5589,Mexico,NA,21650635.094611228,0,0,0,0,0,0,0,0,0,51082.18992977645,0,0,0,0
5590,Mexico,NA,21650635.094610274,0,0,0,0,0,0,0,0,0,52915.95665324447,0,0,0,0
5591,Mexico,NA,21650635.094610274,0,0,0,0,0,0,0,0,0,56042.90150442167,0,0,0,0
5592,Mexico,NA,21650635.09461111,0,0,0,0,0,0,0,0,0,60262.05397711489,0,0,0,0
5593,Mexico,NA,21650635.09461111,0,0,0,0,0,0,0,0,0,65362.24820220834,0,0,0,0
5594,Mexico,NA,21650635.09461218,0,0,0,0,0,0,0,0,0,70465.01207967036,0,0,0,0
5595,Mexico,NA,21650635.094610155,0,0,0,0,0,0,0,0,0,62738.42161096651,0,0,0,0
5596,Mexico,NA,21650635.09461111,0,0,0,0,0,0,0,0,0,55219.28391612584,0,0,0,0
5597,Mexico,NA,21650635.09461111,0,0,0,0,0,0,0,0,0,47905.86810475689,0,0,0,0
5598,Mexico,NA,21650635.09461218,0,0,0,0,0,0,0,0,0,41118.89854698737,0,0,0,0
5599,Mexico,NA,21650635.094610155,0,0,0,0,0,0,0,0,0,35164.69019577314,0,0,0,0
5600,Mexico,NA,21650635.094610155,0,0,0,0,0,0,0,0,0,30534.358604887497,0,0,0,0
5601,Mexico,NA,21650635.09461111,0,0,0,0,0,0,0,0,0,27895.137107730756,0,0,0,0
5602,Mexico,NA,21650635.09461111,0,0,0,0,0,0,0,0,0,27543.899871972397,0,0,0,0
5603,Mexico,NA,21650635.09461218,0,0,0,0,0,0,0,0,0,29231.114227897942,0,0,0,0
5604,Mexico,NA,21650635.094610155,0,0,0,0,0,0,0,0,0,33170.01142374848,0,0,0,0
5605,Mexico,NA,21650635.09461111,0,0,0,0,0,0,0,0,0,30198.861363954416,0,0,0,0
5606,Mexico,NA,21650635.09461111,0,0,0,0,0,0,0,0,0,23735.849548963553,0,0,0,0
5607,Mexico,NA,21650635.09461218,0,0,0,0,0,0,0,0,0,19099.996857140224,0,0,0,0
5608,Mexico,NA,21650635.094610155,0,0,0,0,0,0,0,0,0,17717.29673032227,0,0,0,0
5609,Mexico,NA,21650635.094610155,0,0,0,0,0,0,0,0,0,19161.822029640683,0,0,0,0
5610,Mexico,NA,21650635.09461111,0,0,0,0,0,0,0,0,0,12925.454285830758,0,0,0,0
5611,Mexico,NA,21650635.09461111,0.14227000996347228,0.14227000996347228,0.14227000996347228,0.6957821321820237,1,0,0,1,0,5790.151537268814,0.021629849834851073,0,0,0.021629849834851073
5612,Mexico,NA,21650635.09461218,0,0,0,0.8679840584523288,0,0,0,0,0,4927.601950881131,0,0,0,0
5613,Mexico,NA,21650635.094610155,0,0,0,0.9534207904351468,0,0,0,0,1,11180.791138318897,0,0,0,0
5614,Mexico,NA,21650635.094610155,0,0,0,1,0,0,0,0,0,17329.94105359547,0,0,0,0
5615,Mexico,NA,21650635.09461111,0,0,0,0.9999584855530075,0,0,0,0,0,24800.73038404725,0,0,0,0
5616,Mexico,NA,21650635.09461111,0,0,0,0.9999584855530075,0,0,0,0,0,30070.562091970347,0,0,0,0
5617,Mexico,NA,21650635.09461218,0,0,0,0.6197276652274902,0,0,0,1,1,30542.574806107357,0,0,0,0
5618,Mexico,NA,21650635.094610155,0,0,0,0.9792012620392672,0,0,0,0,0,30501.557822347724,0,0,0,0
5619,Mexico,NA,21650635.094610155,0,0,0,0.7764031883095932,0,0,0,0,0,31703.450104680156,0,0,0,0
5620,Mexico,NA,21050769.673588693,0,0,0,0.7629180010765295,0,0,0,0,0,24227.331612099882,0,0,0,0
5621,Mexico,NA,377215.1295265365,0,0,0,0,0,0,0,0,0,36306.62059114996,0,0,0,0
5622,Mexico,NA,21650635.094610155,0,0,0,0,0,0,0,0,0,39623.548327136145,0,0,0,0
5623,Mexico,NA,21650635.094610155,0,0,0,0,0,0,0,0,0,47402.48226531927,0,0,0,0
5624,Mexico,NA,21650635.09461111,0,0,0,0,0,0,0,0,0,55443.35007730734,0,0,0,0
5625,Honduras,NA,21650635.09461105,0,0,0,0.7318997010960091,0,0,0,0,0,47696.48596013194,0,0,0,0
5626,Honduras,NA,21650635.09461105,0,0,0,0.7483809365659533,0,0,0,0,0,41453.640355684816,0,0,0,0
5627,Honduras,NA,21650635.094611645,0,0,0,0.6464629691132581,0,0,0,0,0,36219.52269884249,0,0,0,0
5628,Honduras,NA,21650635.09461105,0,0,0,0.09054300896712399,0,0,0,0,1,32485.432894228426,0,0,0,0
5629,Honduras,NA,21650635.09461105,0,0,0,0.14127366323481108,0,0,0,0,1,30801.83235002274,0,0,0,0
5630,Honduras,NA,21650635.09461105,0.11449684490203024,0.11499501826636105,0.11441381600797511,0.4176353370973257,1,0,0,0,0,30777.03422680187,0,0,0,0
5631,Honduras,NA,21650635.09461105,0,0,0,0,0,0,0,0,0,32076.174536290877,0,0,0,0
5632,Honduras,NA,21650635.094611645,0.06567585519760945,0.06567585519760945,0.06567585519760945,0,0,0,0,0,0,35504.029489164095,0,0,0,0
5633,Honduras,NA,21650635.09461105,0.059116572567255644,0.059116572567255644,0.059116572567255644,0,0,0,0,0,0,40523.95892619847,0,0,0,0
5634,Honduras,NA,21650635.094611645,0,0,0,0,0,0,0,0,0,46624.52556473877,0,0,0,0
5635,Honduras,NA,21650635.09461105,0,0,0,0,0,0,0,0,0,53436.89288517708,0,0,0,0
5636,Honduras,NA,21650635.09461105,0,0,0,0,0,0,0,0,0,60721.96191088292,0,0,0,0
5637,Honduras,NA,21650635.09461105,0,0,0,0,0,0,0,0,0,63467.012258941475,0,0,0,0
