pid,country,name_2,cellarea,coral_prop,coral_prop25,coral_prop75,forest_prop,beach,wildlife,ruins,roads,develop,pa_min_dist,mangrove_prop
16,Guatemala,MPA Río Sarstun,9745027.895827841,0,0,0,0.8892193283087935,0,1,0,0,0,26136.021003966514,0.01463411968510334
17,Guatemala,MPA Río Sarstun,21650635.094611198,0,0,0,0.9414231152441341,0,0,0,0,0,22782.102352657395,0
18,Guatemala,MPA Río Sarstun,21650635.0946106,0,0,0,0.640235802059154,0,1,0,0,1,22795.171603772986,0.022354964167984565
19,Guatemala,MPA Río Sarstun,5634687.517463064,0,0,0,0.532299757243482,0,0,0,0,1,21722.262947645035,0
20,Guatemala,MPA Río Sarstun,21650635.094611138,0,0,0,0.6755645964795977,0,0,0,0,1,20104.999969123644,0
21,Guatemala,MPA Río Sarstun,4124468.133524161,0,0,0,0.9098261711973191,0,1,0,0,0,21507.741379970226,0.1858571803253121
22,Guatemala,MPA Río Sarstun,19087629.4468056,0,0,0,0.9428596489904315,0,0,0,0,0,17831.83075053496,0
23,Guatemala,MPA Río Sarstun,21596239.233967572,0,0,0,0.9282704476913555,0,1,0,0,1,17848.52511425342,0.011826995480827782
24,Guatemala,MPA Río Sarstun,21110857.39850425,0,0,0,0.8587136999251506,0,0,0,0,1,15104.99996912375,0
25,Guatemala,MPA Río Sarstun,7077597.284261376,0,0,0,0.29386468954073763,0,1,0,0,1,16762.803898432743,0.021062808492357712
26,Guatemala,MPA Río Sarstun,2559021.3211127874,0,0,0,0.8053785306950492,0,0,0,0,0,14568.231050931392,0
27,Guatemala,MPA Río Sarstun,21629953.61930254,0,0,0,0.46540637983609656,1,1,0,0,1,12942.945919028023,0.011129385595453784
28,Guatemala,MPA Río Sarstun,15797985.258514903,0,0,0,0.898758088227795,0,0,0,0,1,10104.9999691233,0
29,Guatemala,MPA Río Sarstun,1338783.2280721534,0,0,0,0,0,1,0,0,0,13104.874794522455,0
30,Guatemala,MPA Río Sarstun,1851515.5286058374,0,0,0,0.9174963457982159,0,0,0,0,1,8116.291550534449,0
31,Guatemala,MPA Río Sarstun,21134523.947759807,0,0,0,0.5216514133211259,1,1,0,0,0,8152.904351927832,0.011103573440141333
32,Mexico,Reserva Estatal de Dzilam,528587.6717604809,0,0,0,NA,0,1,0,0,0,1194.1921249750412,0
33,Guatemala,MPA Río Sarstun,21650635.094611287,0,0,0,0.6011707074061935,0,0,0,0,1,5104.999969123671,0
34,Guatemala,MPA Río Sarstun,2549854.675007671,0,0,0,0,0,1,0,0,0,9178.317655760804,0
35,Mexico,Reserva Estatal de Dzilam,8792061.535151482,0,0,0,NA,1,1,0,1,0,300.7794474616571,0.020037546981006196
36,Guatemala,MPA Río Sarstun,6154718.529961711,0,0,0,0.8654128681797337,0,0,0,0,1,4640.47479458206,0
37,Guatemala,MPA Río Sarstun,17869315.930323005,0,0,0,0.3033047995757824,1,1,0,0,0,3926.811643105004,0
38,Mexico,Reserva Estatal de Dzilam,13926582.248612702,0,0,0,NA,1,1,0,0,0,1524.8603317808202,0.007930867892543509
39,Guatemala,MPA Río Sarstun,14660612.157707183,0,0,0,0.5645249015938619,1,0,0,0,1,807.7160810911743,0
40,Belize,Port Honduras,1315501.9355717432,0,0,0,0,0,0,0,0,0,4469.780939834562,0.01739147056382725
41,Mexico,Reserva Estatal de Dzilam,13995024.482349388,0,0,0,NA,0,1,0,0,0,3168.075295592075,0.15986292205840483
42,Guatemala,MPA Río Sarstun,1176873.6106812172,0,0,0,0,0,0,0,0,0,3338.4174270860226,0
43,Belize,Port Honduras,5950218.248471916,0,0,0,6.042226393825086e-4,0,0,0,0,0,8081.8710628092995,0.02124845204820748
44,Mexico,Reserva Estatal de Dzilam,20182862.05383748,0,0,0,NA,1,1,0,0,0,5831.871620362436,0.23892507272268315
45,Belize,Port Honduras,16698959.083185028,0,0,0,0,0,0,0,0,0,6601.438096980774,0.011415690936555534
46,Belize,Port Honduras,16341350.254879624,0.0011000488083657907,0.0011000488083657907,0.0011000488083657907,0,0,0,0,0,0,12748.36981144023,0.010061890918203292
47,Mexico,Reserva Estatal de Dzilam,13718831.554284658,0,0,0,NA,0,1,0,0,0,8167.629663145161,0.09504471115854174
48,Mexico,Reserva Estatal de Dzilam,4007317.207339227,0,0,0,NA,0,1,0,0,0,10453.270627122889,0
49,Belize,Port Honduras,21650635.09461063,0,0,0,0,0,0,0,0,0,10950.803937196028,0.09238691903503153
50,Belize,Port Honduras,1730007.5312949466,0,0,0,0,0,0,0,0,0,17774.83164262228,0.03523889233123112
51,Mexico,Reserva Estatal de Dzilam,860934.6132599115,0,0,0,NA,0,0,0,0,0,13271.509786073442,0
52,Mexico,Reserva Estatal de Dzilam,21650635.094610035,0,0,0,NA,1,1,0,0,0,10755.658967824773,0.49272468747962117
53,Belize,Port Honduras,16455168.043293519,0.00469749176422829,0.00469749176422829,0.00469749176422829,0,0,0,0,0,0,11342.517708131933,0
54,Belize,Port Honduras,21650635.094611675,0,0,0,0,0,0,0,0,0,15729.034598479662,0.078587667991027
55,Mexico,Reserva Estatal de Dzilam,20060523.400547594,0,0,0,NA,0,1,0,0,0,13167.522452991958,0.08067598003839785
56,Mexico,Reserva Estatal de Dzilam,11780781.501779795,0,0,0,NA,1,1,0,0,0,14350.358990281959,0
57,Belize,Port Honduras,21650635.09461075,0.0011624045167718967,0.0011624045167718967,0.0011624045167718967,0,0,0,0,0,0,15152.00348007344,0.0776000218952387
58,Belize,Port Honduras,13176725.415398657,0,0,0,0,0,0,0,0,0,20612.737613656293,0.009674881606955399
59,Mexico,Reserva Estatal de Dzilam,21650635.094610155,0,0,0,NA,1,1,0,0,0,15727.608625213637,0.6873568211497767
60,Mexico,Reserva Estatal de Dzilam,1855052.8882605433,0,0,0,NA,0,1,0,0,0,19978.808939793696,0
61,Belize,Port Honduras,16096377.728669295,0,0,0,0,0,0,0,0,0,16239.973196082097,0
62,Belize,Port Honduras,21650635.094611824,0.005728993689804064,0.005728993689804064,0.005728993689804064,0,0,0,0,0,0,19546.499225933578,0.04514125427222071
63,Belize,Port Honduras,2120979.478286788,0,0,0,0,0,0,0,0,0,25659.729601614967,0
64,Mexico,Reserva Estatal de Dzilam,13994741.914552957,0,0,0,NA,0,1,0,0,0,18167.474254442117,0
65,Mexico,Reserva Estatal de Dzilam,21650635.094609857,0,0,0,NA,1,1,0,0,0,19042.223514749505,0.2665775112537941
66,Belize,Port Honduras,21650635.094610512,0.0014114911989373186,0.0014114911989373186,0.0014114911989373186,0,0,0,0,0,0,19729.32619349639,0.004908049900232951
67,Belize,Port Honduras,13789027.355757862,0,0,0,0,1,1,0,0,0,24177.428616763496,0.011781109392898337
68,Mexico,Reserva Estatal de Dzilam,20531274.810446218,0,0,0,NA,0,1,0,0,0,20713.06704241694,0.43935698964838693
69,Mexico,Reserva Estatal de Dzilam,17731816.16801411,0,0,0,NA,1,1,0,0,0,22975.09259401418,0.04307830733365579
70,Belize,Port Honduras,10576668.83703617,0.0036541758824711664,0.0036541758824711664,0.0036541758824711664,0,0,0,0,0,0,21185.63308704254,0
71,Belize,Port Honduras,21423225.567990243,0,0,0,0,1,1,0,0,0,23806.06507969485,0.010988755607694774
72,Mexico,Reserva Estatal de Dzilam,919456.5300432034,0,0,0,NA,0,1,0,0,0,23167.4468602294,0
73,Mexico,Reserva Estatal de Dzilam,21650635.094610214,0,0,0,NA,0,1,0,0,0,23859.584020294446,0.48652648365937784
74,Mexico,Reserva Estatal de Dzilam,9785013.960346699,0,0,0,NA,1,1,0,0,0,27614.67953518932,0
75,Belize,Port Honduras,21588394.056283027,0.015612801166539793,0.03139213887885601,0.010450168247470634,0,0,1,0,0,0,24472.62582230667,0
76,Belize,Port Honduras,14920416.227618394,0,0.05289120666421758,0,0,1,1,0,0,0,28181.752200812014,0.011118165327158628
77,Mexico,Reserva Estatal de Dzilam,6690027.460658193,0,0,0,NA,0,1,0,0,0,25753.874994403202,0
78,Mexico,Reserva Estatal de Dzilam,21650635.0946123,0,0,0,NA,1,1,0,0,0,27559.541958081445,0.7230688827205709
79,Belize,Port Honduras,21650635.094611734,0.036574227831285513,0.049194619727665534,0.0319661242112257,0,0,1,0,0,0,28308.864992576277,0
80,Belize,Port Honduras,8682026.615254134,0,0,0,0,1,1,0,0,1,26349.112779127292,0
81,Mexico,Reserva Estatal de Dzilam,19182255.769111678,0,0,0,NA,0,1,0,0,0,28739.4019223995,0.22545192215719986
82,Mexico,Reserva Estatal de Dzilam,17811840.434386373,0,0,0,NA,1,1,0,0,0,31619.249773785552,0.17922034510594126
83,Belize,Port Honduras,10679303.83627373,0.09451629983604488,0.11454735892863498,0.09089724294116516,0,0,0,0,0,0,29307.653241463184,0
84,Belize,Port Honduras,21650635.09461075,9.54832281634058e-4,0.05878445699103592,5.396878113583806e-4,0,0,1,0,0,0,29167.78679006157,0
85,Belize,Port Honduras,4109354.2122732997,0,0,0,0,1,0,0,0,0,22584.49027027586,0
86,Mexico,Reserva Estatal de Dzilam,21650635.09461242,0,0,0,NA,0,1,0,0,0,32267.659136896687,0.6669124284619659
87,Mexico,Reserva Estatal de Dzilam,332887.896732077,0,0,0,NA,0,1,0,0,0,34079.21541131056,0
88,Belize,Port Honduras,18920720.50087872,0.0455565507568647,0.05320473081093687,0.04289631421631785,0,0,0,0,0,0,32730.406394127833,0
89,Belize,Port Honduras,20267575.82843092,0,0,0,0,0,0,0,0,0,24301.314729464797,0
90,Belize,Port Honduras,1385743.8421880305,0,0,0,0,0,0,0,0,1,18292.89844397491,0.001270487047777333
91,Mexico,Reserva Estatal de Dzilam,13734721.058497757,0,0,0,NA,0,1,0,0,0,31459.03784323225,3.2324369613932573e-4
92,Mexico,Reserva Estatal de Dzilam,20380498.46915245,0,0,0,NA,1,1,0,0,0,29833.840997559513,0.08073628429575605
93,Belize,Port Honduras,7479944.054422855,0,0,0,0,0,0,0,0,0,28405.54606597782,0
94,Belize,Port Honduras,8607431.812204957,0,0,0,0,1,0,0,0,0,19613.62947527897,0
95,Mexico,Reserva Estatal de Dzilam,21650635.0946123,0,0,0,NA,0,1,0,0,0,27899.18764560858,0.32312605604749417
96,Mexico,Reserva Estatal de Dzilam,3184214.655527711,0,0,0,NA,0,1,0,0,0,27299.987955712586,0
97,Mexico,Reserva Estatal de Dzilam,8434636.8893888,0,0,0,NA,0,1,0,0,0,26770.716723727764,0
98,Mexico,Reserva Estatal de Dzilam,21650635.094610333,0,0,0,NA,1,1,0,0,0,24840.657812301517,0.3224979416897175
99,Mexico,Reserva Estatal de Dzilam,21650635.09461218,0,0,0,NA,0,1,0,0,0,23029.652258880986,0.30106126601822275
100,Mexico,Reserva Estatal de Dzilam,9782615.689450204,0,0,0,NA,0,1,0,0,0,22299.990005876134,0
101,Mexico,Reserva Estatal de Dzilam,3384013.790739134,0,0,0,NA,0,1,0,0,0,22726.006201031218,0
102,Mexico,Reserva Estatal de Dzilam,21650635.094609976,0,0,0,NA,1,1,0,0,0,19850.906589572325,0.6323946696614601
103,Belize,Corozal Bay,10572708.011606423,0,0,0,4.250633530982431e-4,1,0,0,0,1,1412.3225126416144,0.002521121921860729
104,Mexico,Reserva Estatal de Dzilam,20893014.79962252,0,0,0,NA,0,1,0,0,0,18230.883002342904,0.18530046212947063
105,Mexico,Reserva Estatal de Dzilam,14485636.508734167,0,0,0,NA,1,1,0,0,0,17299.993241105683,0.019265357933424543
106,Belize,Sapodilla Cayes,7242842.006474569,0.3838316705139652,0.3838316705139652,0.3838316705139652,0,0,0,0,0,0,40875.05732955417,0
107,Belize,Sapodilla Cayes,168589.68330051005,0.4531665326307918,0.4531665326307918,0.4531665326307918,0,0,0,0,0,0,37550.50812572327,0
108,Belize,Corozal Bay,2577706.5037301276,0,0,0,6.973750831972283e-4,0,1,0,0,0,4259.929655514041,0.036757334415357223
109,Belize,Corozal Bay,3801559.3760796487,0,0,0,0,0,0,0,0,1,3209.3494682405867,0
110,Mexico,Reserva Estatal de Dzilam,187487.11251550913,0,0,0,NA,0,0,0,0,0,19091.298856145728,0
111,Mexico,Reserva Estatal de Dzilam,21650635.094610095,0,0,0,NA,0,1,0,0,0,14868.043055764758,0.797021917098986
112,Belize,Sapodilla Cayes,13135583.957312584,0.3988545664155924,0.3989229923147888,0.3988545664155924,0,0,1,0,0,0,45298.7642570356,0
113,Belize,Sapodilla Cayes,19899734.177803576,0.25433618350001325,0.25433618350001325,0.25433618350001325,0,0,1,0,0,0,37567.28573322893,0
114,Belize,Corozal Bay,18024245.654587172,0,0,0,1.9946779709355963e-4,0,0,0,0,1,4236.78678830303,2.014838372671263e-4
115,Mexico,Reserva Estatal de Dzilam,16920440.327883154,0,0,0,NA,0,1,0,0,0,13578.118681367605,0.08276474660753169
116,Mexico,Reserva Estatal de Dzilam,17557423.40449053,0,0,0,NA,1,1,0,0,0,12299.999106602947,0.08792658883298068
117,Honduras,Omoa,3990736.606134806,0,0,0,0.9963959450068194,0,0,0,0,0,33248.60131124779,0
118,Belize,Sapodilla Cayes,4223434.1561456025,0.5658776057274107,0.5667288695194038,0.5650263419354177,0,0,0,0,0,0,46681.03220361696,0
119,Belize,Sapodilla Cayes,21650635.0946106,0.03287944204583387,0.03287944204583387,0.03287944204583387,0,0,0,0,0,0,41234.10678822345,0
120,Belize,Sapodilla Cayes,332207.578485772,0.5952275758607374,0.5952275758607374,0.5952275758607374,0,0,1,0,0,0,37839.620624577416,0
121,Belize,Corozal Bay,9694096.260887846,0,0,0,0.0013907652444738018,1,1,0,0,1,8419.21541447596,0.002515146555902407
122,Belize,Corozal Bay,16756260.80391267,0,0,0,5.364049618626964e-5,1,0,0,0,1,6678.624808727093,1.7309251875900807e-4
123,Belize,Corozal Bay,2213389.262296852,0,0,0,0,0,0,0,0,0,559.4693194125629,0.02724865710983984
124,Mexico,Reserva Estatal de Dzilam,21650635.094609976,0,0,0,NA,0,1,0,0,0,9902.470206379163,0.5237295996867954
125,Belize,Sapodilla Cayes,21650635.094611824,0.24966788442378,0.24970939887080756,0.24966788442378,0,0,1,0,0,0,45848.730069943515,0
126,Belize,Sapodilla Cayes,19899741.71739906,0.019918702615445767,0.019918702615445767,0.019918702615445767,0,0,1,0,0,0,38057.42471106091,0
127,Belize,Corozal Bay,21313241.941182435,0,0,0,0,0,0,0,0,1,9236.786788302947,4.1663098428575053e-4
128,Belize,Corozal Bay,14191054.761158884,0,0,0,3.8002001635924226e-4,1,0,0,0,1,1675.0748013586394,5.378320987383787e-5
129,Mexico,Reserva Estatal de Dzilam,11782219.493965805,0,0,0,NA,0,1,0,0,0,9293.305052855005,0.006911442441918666
130,Mexico,Reserva Estatal de Dzilam,11679679.993487895,0,0,0,NA,0,1,0,0,0,7300.01300701563,0
131,Honduras,Omoa,5912576.062540838,0,0,0,0.9960176761445179,0,0,0,0,0,35352.305155308866,0
132,Honduras,Cuyamel,11136845.793670114,0,0,0,0.7245815854934264,0,0,0,0,0,34232.85836732817,0
133,Belize,Sapodilla Cayes,929767.275472151,0,0,0,0,0,1,0,0,0,45738.16951500418,0
134,Belize,Sapodilla Cayes,21650635.09461087,0.21301062769844886,0.21313517103953158,0.2129691132514213,0,0,1,0,0,0,42186.8796375223,0
135,Belize,Sapodilla Cayes,332210.86264012754,0,0,0,0,0,0,0,0,0,38777.98854027421,0
136,Belize,Corozal Bay,2996214.9750355924,0,0,0,0,0,0,0,0,0,12371.473175361616,0.02553968012593541
137,Belize,Corozal Bay,19741608.111704767,0,0,0,0,0,0,0,0,0,6427.291096063026,0
138,Belize,Corozal Bay,7290259.187961526,0,0,0,0,0,0,0,0,0,528.6616317466109,0
139,Mexico,Reserva Estatal de Dzilam,21650635.094610095,0,0,0,NA,0,1,0,0,0,5005.909314836276,0.2767026612669935
140,Honduras,Omoa,7588081.211340725,0,0,0,0.999606138605453,0,0,0,0,0,35513.548923955605,0
141,Honduras,Cuyamel,11686952.791434139,0,0,0,0.7598459494713707,0,0,0,0,0,31579.061298484754,0.0608568470033162
142,Belize,Sapodilla Cayes,4915176.460912794,0.08759237400309691,0.08759237400309691,0.08740950892167083,0,0,1,0,0,0,45553.29161278718,0
143,Belize,Sapodilla Cayes,17704571.12672043,0.26485326045873536,0.2649040278078745,0.26480249310959625,0,0,1,0,0,0,39184.6177587997,0
144,Belize,Laughing Bird Caye,2242220.9911557436,0.008818894854905801,0.008818894854905801,0.008818894854905801,0,0,0,0,0,0,18076.40310675106,0
145,Belize,South Water Caye,9132366.075735569,0.025786231488001063,0.025786231488001063,0.025786231488001063,0,0,0,0,0,0,13280.709907022714,0
146,Belize,South Water Caye,8496253.059137642,0.0789189477489946,0.0789189477489946,0.0789189477489946,0,0,0,0,0,0,16542.065255534126,0.003389729543068398
147,Belize,Corozal Bay,20465455.770080503,0,0,0,4.391859892328611e-5,0,0,0,0,0,11393.606368351471,0.0036200120531437742
148,Belize,Corozal Bay,4124126.3153346777,0,0,0,0,0,0,0,0,0,3876.8931452718184,0
149,Mexico,Reserva Estatal de Dzilam,6063904.259664267,0,0,0,NA,0,1,0,0,0,6130.639073703999,0
150,Mexico,Reserva Estatal de Dzilam,13799688.603515446,0,0,0,NA,1,1,0,0,0,2300.0873424139504,0.016598169270258308
151,Honduras,Omoa,2690218.10639225,0,0,0,0.997970328501338,0,0,0,0,0,32562.189737580957,0
152,Honduras,Cuyamel,1727208.4761300539,0,0,0,0.627584841286392,0,0,0,0,0,31749.110812085124,0
153,Honduras,Cuyamel,8032513.840003182,0,0,0,0,0,0,0,0,0,28221.38033467256,0
154,Belize,Sapodilla Cayes,2436678.6234605312,0.01881229674271477,0.01881229674271477,0.01881229674271477,0,0,1,0,0,0,43859.61649737281,0
155,Belize,Laughing Bird Caye,14702914.55641526,0.06779505393929339,0.06779505393929339,0.06779505393929339,0,0,0,0,0,0,16949.9928521101,2.448494130874863e-4
156,Belize,South Water Caye,4583780.702199921,0.05215881338353155,0.05215881338353155,0.05215881338353155,0,0,0,0,0,0,13250.959173028594,0
157,Belize,South Water Caye,20623435.18422562,0.17079854048971857,0.17079854048971857,0.17079854048971857,0,0,0,0,0,0,14808.64590187697,0.014735250629216445
158,Belize,South Water Caye,14928048.172846854,0.05340605391098537,0.05340605391098537,0.05340605391098537,0,0,0,0,0,0,20322.4500014269,0
159,Belize,South Water Caye,253735.222492069,0,0,0,0,0,0,0,0,0,24314.90685184495,0
160,Belize,Corozal Bay,6398534.985154377,0,0,0,0,0,0,0,0,0,16380.429216608938,0.03380303482168502
161,Belize,Corozal Bay,12770754.22465974,0,0,0,0,0,0,0,0,0,9732.70072470748,0
162,Mexico,Reserva Estatal de Dzilam,15203107.377154768,0,0,0,NA,0,1,0,0,0,1130.6390737046047,0.07911752440394815
163,Mexico,Ría Lagartos,168944.7916970104,0,0,0,NA,0,1,0,0,0,1205.2855977927625,0
164,Honduras,Omoa,19357653.40784806,0,0,0,0.9404332893004408,0,0,0,0,0,31335.56385963433,0
165,Honduras,Cuyamel,20225343.170569744,0,0,0,0.1238098252951695,0,0,0,0,0,26916.945230121735,0.0012587165947223387
166,Belize,Laughing Bird Caye,3759199.483931185,0.03921194398031545,0.03921194398031545,0.03921194398031545,0,0,0,0,0,0,19564.424110418237,0
167,Belize,Laughing Bird Caye,12148450.247072458,0.012725576479352367,0.012725576479352367,0.012725576479352367,0,0,0,0,0,0,17326.530525180515,0
168,Belize,South Water Caye,21650635.09461063,0.1238791099302628,0.1238791099302628,0.1238791099302628,0,0,0,0,0,0,15637.870824347188,0.008854243728305745
169,Belize,South Water Caye,21650635.094611585,0.29209564928595533,0.29209564928595533,0.29209564928595533,0,0,1,0,0,0,19016.014088312393,0.03375596136703917
170,Belize,South Water Caye,18148097.27068633,0.09177284998664934,0.09177284998664934,0.09177284998664934,0,0,0,0,0,0,25115.710804717488,0
171,Belize,South Water Caye,1962885.989901185,0,0,0,0,0,0,0,0,0,18971.088994718833,0
172,Belize,Hol Chan,1511272.4716719985,0,0,0,0,0,0,0,0,0,22626.55506457889,0
173,Belize,Corozal Bay,21598656.9192428,0,0,0,0,0,0,0,0,0,13857.802529500335,3.7359670551715535e-4
174,Mexico,Reserva Estatal de Dzilam,4555639.043430045,0,0,0,NA,0,1,0,0,1,164.7762431795763,0.04437469292601977
175,Mexico,Ría Lagartos,8903646.44819802,0,0,0,NA,1,1,0,0,1,0,0.007626089496353992
176,Honduras,Omoa,18788641.922203906,0,0,0,0.9893889190062461,0,0,0,0,0,26856.005751126715,0
177,Honduras,Omoa,4309739.05663389,0,0,0,0.9672743393334606,0,0,0,0,0,27864.304823547613,0
178,Honduras,Cuyamel,3837557.6531576924,0.007026454518609024,0.007494884819849626,0.007026454518609024,0,0,0,0,0,0,26774.28179195858,0
179,Honduras,Cuyamel,12757068.828395069,0,0,0,0,0,0,0,0,0,23423.340273219874,0
180,Belize,Laughing Bird Caye,7807736.4738230705,0.05997668728483995,0.05997668728483995,0.05997668728483995,0,0,0,0,0,0,19520.2512837425,0
181,Belize,South Water Caye,4681341.65877067,0.07199972325757735,0.07199972325757735,0.07199972325757735,0,0,0,0,0,0,17964.73203693896,0
182,Belize,South Water Caye,21650635.09461063,0.4865908336101241,0.4865908336101241,0.4865908336101241,0,0,1,0,0,0,19178.54330566022,0
183,Belize,South Water Caye,21650635.09461063,0.30886748588510565,0.30886748588510565,0.30886748588510565,0,0,0,0,0,0,23661.832372305027,0.029140022786546125
184,Belize,South Water Caye,20651680.582868993,0.136225633485065,0.136225633485065,0.136225633485065,0,0,0,0,0,0,21542.790475269914,0.0031512943082110897
185,Belize,South Water Caye,4893574.429236889,0,0,0,0,0,0,0,0,0,15396.760557052094,0
186,Belize,Hol Chan,3071731.9016703963,0,0,0,0,0,0,0,0,0,20185.913680074224,0
187,Belize,Corozal Bay,7844938.041783335,0,0,0,0,0,0,0,0,0,18855.84488136274,0.029045167452306953
188,Belize,Corozal Bay,12413649.623945296,0,0,0,0,0,0,0,0,0,13004.140653957513,0
189,Mexico,Ría Lagartos,3745985.210576213,0,0,0,NA,0,1,0,0,0,1330.6602617183678,0
190,Mexico,Ría Lagartos,355538.6794221401,0,0,0,NA,1,1,0,0,0,3133.0020845572535,0
191,Honduras,Omoa,741602.8304300569,0,0,0,0.9986785703328653,0,0,0,0,0,26360.855031997417,0
192,Honduras,Omoa,21650635.094610393,0,0,0,0.976253736300299,0,0,0,0,0,27458.54291140766,0
193,Honduras,Cuyamel,21650635.094610393,0,0,0,0,0,0,0,0,0,22401.043916506733,0
194,Belize,Laughing Bird Caye,293795.62035274506,0,0,0,0,0,0,0,0,0,21056.816409682768,0
195,Belize,South Water Caye,19162892.613322556,0.15168716954879347,0.15168716954879347,0.15168716954879347,0,0,0,0,0,0,20591.84923330584,0.008500804303788963
196,Belize,South Water Caye,21462683.062099576,0.49139639868083673,0.49139639868083673,0.49139639868083673,0,0,1,0,0,0,23261.34223846868,0.011657442793907522
197,Belize,South Water Caye,21650635.094610393,0.2854118233145329,0.2854118233145329,0.2854118233145329,0,0,0,0,0,0,26422.10891663648,0.0021200301884586837
198,Belize,South Water Caye,21640196.761387527,0.1844130551235844,0.1844130551235844,0.1844130551235844,0,0,0,0,0,0,18424.564249395196,0.007389973311587133
199,Belize,South Water Caye,8207309.763329446,0,0,0,0,0,0,0,0,0,13038.435952673468,0
200,Belize,Hol Chan,18449839.651202142,0,0,0,0,0,0,0,0,0,17626.555064579094,0
201,Belize,Hol Chan,134348.22105745345,0,0,0,0,0,0,0,0,0,19162.892166772606,0
202,Belize,Corozal Bay,8960223.859500702,0,0,0,0,0,0,0,0,0,18580.496827978215,0.0013546325048289266
203,Belize,Corozal Bay,21286096.14798942,0,0,0,0,0,0,0,0,1,17035.485620091422,3.2669681721775274e-4
204,Mexico,Ría Lagartos,19017044.985945314,0,0,0,NA,0,1,0,1,1,362.7860813027683,0.0016511502055265826
205,Honduras,Omoa,10932637.320996366,0,0,0,0.9953630143262027,0,0,0,0,0,25083.847564576845,0
206,Honduras,Omoa,13036170.587735176,0,0,0,0.9782990948005049,0,0,0,0,0,22784.797420716804,0
207,Honduras,Cuyamel,2725036.2435272764,6.596713316260304e-4,6.596713316260304e-4,6.596713316260304e-4,0,0,0,0,0,0,23565.481231469385,0
208,Honduras,Cuyamel,9523137.192683935,0,0,0,0,0,0,0,0,0,20301.818273348235,0
209,Honduras,Zona de Interconexion,4786333.136834204,0,0,0,0,0,0,0,0,0,18350.786675871084,0
210,Belize,South Water Caye,1030371.6881091989,0,0,0,0,0,0,0,0,0,22961.01141235322,0
211,Belize,South Water Caye,8634578.232739687,0.4718614394114791,0.4718614394114791,0.4718614394114791,0,0,0,0,0,0,23922.745959762433,0
212,Belize,South Water Caye,12435186.510863956,0.2753141716488707,0.2753141716488707,0.2753141716488707,0,0,0,0,0,0,27647.125748317067,0
213,Belize,South Water Caye,21594012.41668792,0.30318414645366953,0.30318414645366953,0.30318414645366953,0,0,1,0,0,0,23420.089366210672,0.003250901159332115
214,Belize,South Water Caye,21650635.094610453,0.036615742278315246,0.036615742278315246,0.036615742278315246,0,0,0,0,0,0,15913.625519427365,0.0057945755785220755
215,Belize,South Water Caye,4753019.515329242,0.02931109199776854,0.02931109199776854,0.02931109199776854,0,0,0,0,0,0,12634.789232215411,0
216,Belize,Hol Chan,3543094.2927508354,0,0,0,0,0,0,0,0,0,15705.949774621504,0
217,Belize,Hol Chan,21041604.31511402,0,0,0,0,0,0,0,0,0,15205.44509225564,0.005731502132330111
218,Belize,Corozal Bay,319737.52761477977,0,0,0,0,0,0,0,0,0,17741.632926498824,0
219,Belize,Corozal Bay,12689124.693710804,0,0,0,0,0,0,0,0,0,18248.249605089077,2.2795314770810154e-6
