pid,smud_prop,Country,MPA,MPA_short,AvgExp,socmed,ud_to_vis,est_vis,est_exp,corals,mangroves,beach,temp,dayshot,vis_log,protected,prop_land,wildlife,C3P,air_min_dist,ports_min_dist,pa_min_dist,ruins,sargassum,roads_min_dist,prop_dev,forest,precip
10,0,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.54673194885254,7.665517330169678,0,1,1,0,8.769999840296805e-4,44172.15491057589,30927.212359147645,28968.090208864814,0,0,1000,0,0,2448.504150390625
11,7.02817078e-7,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,5.655547620378455,339,0,0,0,25.54673194885254,7.665517330169678,1.895450735520802,1,1,0,9.640000062063336e-4,39969.47560658839,35050.927696723644,32912.82741728607,0,0,1000,0,0,2448.504150390625
12,4.84556957e-5,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,389.9215074422502,23395,0,0,0,25.54673194885254,7.665517330169678,5.968506791603204,1,1,0,9.640000062063336e-4,35971.359316646354,31057.64539444779,31057.64539444779,0,0,0,0.06045141238432226,1,2448.504150390625
13,5.6636975007e-5,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,455.7560128416129,27345,0,0,0,25.54673194885254,7.665517330169678,6.124149359575654,1,0.820041935605382,0,7.910000276751816e-4,32253.96722744326,26774.28179195858,26774.28179195858,0,0,0,0,1,2448.504150390625
14,1.0817689408e-4,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,870.4961718276234,52230,0,0,0,25.54673194885254,7.665517330169678,6.770211472325784,1,0.89880373725622,0,7.910000276751816e-4,28925.734437187595,22784.797420716804,22784.797420716804,0,0,0,0.004946737106547199,1,2448.504150390625
15,0,Honduras,Zona de Interconexion,Zona de Interconexion,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.718975067138672,5.72468090057373,0,1,1,0,7.510000141337514e-4,26134.68936066063,19272.566552770713,19272.566552770713,0,0,1000,0,0,2350.91259765625
16,4.68544719e-7,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,3.770365082934626,226,0,0,0,25.718975067138672,5.72468090057373,1.562422839274276,1,1,0,7.910000276751816e-4,26938.3013621042,22091.350504281152,22091.350504281152,0,0,1000,0,0,2350.91259765625
17,0,Honduras,Zona de Interconexion,Zona de Interconexion,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.718975067138672,5.72468090057373,0,1,1,0,7.510000141337514e-4,26473.854969044754,16552.08020319653,16552.08020319653,0,0,3887.4455983088037,0,0,2350.91259765625
18,0,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.54673194885254,7.665517330169678,0,1,1,0,8.769999840296805e-4,45514.2220890211,34495.42498562927,32357.893792003768,0,0,3887.232768894169,0,0,2448.504150390625
19,0,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,0,0,0,1,0,25.54673194885254,7.665517330169678,0,1,0.958824187170935,0,9.640000062063336e-4,40685.20018604759,31579.061298484754,31579.061298484754,0,0,1000,0,1,2448.504150390625
20,1.4115453694e-5,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,113.58662594943938,6815,0,0,0,25.54673194885254,7.665517330169678,4.741331095458556,1,0.225352763480858,0,7.910000276751816e-4,37103.439530593474,26916.945230121735,26916.945230121735,0,0,1000,0,1,2448.504150390625
21,9.37089438e-7,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,7.540730165869252,452,1,0,0,25.54673194885254,7.665517330169678,2.144846503661909,1,0,0,7.910000276751816e-4,33882.811805135265,22401.043916506733,22401.043916506733,0,0,1000,0,0,2448.504150390625
22,4.3790677939e-5,Honduras,Zona de Interconexion,Zona de Interconexion,60,smud_prop,8046969.5421636505,352.38225160583073,21143,0,1,1,25.718975067138672,5.72468090057373,5.867550336796002,1,0.888530031254923,0,7.910000276751816e-4,31134.678416653867,18140.881912883215,18140.881912883215,0,0,0,0,1,2350.91259765625
23,3.4829216152e-5,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,280.26964155257826,16816,0,1,1,25.54673194885254,7.665517330169678,5.639313787711555,1,0.496526707403889,0,7.910000276751816e-4,31195.248705375492,20951.082890663187,20951.082890663187,0,0,0,0,1,2448.504150390625
24,4.548969658e-6,Honduras,Zona de Interconexion,Zona de Interconexion,60,smud_prop,8046969.5421636505,36.605420286152594,2196,0,0,0,25.718975067138672,5.72468090057373,3.627148196552904,1,1,0,6.639999919570982e-4,28683.94921474322,14365.807481832388,14365.807481832388,0,0,1000,0,1,2350.91259765625
25,0,Honduras,Zona de Interconexion,Zona de Interconexion,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.718975067138672,5.72468090057373,0,1,1,0,6.639999919570982e-4,28599.550523281174,11505.539692593811,11505.539692593811,0,0,1000,0,0,2350.91259765625
26,0,Honduras,Zona de Interconexion,Zona de Interconexion,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.718975067138672,5.72468090057373,0,1,1,0,6.689999718219042e-4,30119.090998183743,9366.84203277539,9366.84203277539,0,0,1000,0,0,2350.91259765625
27,0,Honduras,NP Blanca Jeannette Kawas,Jeannette Kawas,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.988950729370117,4.456775665283203,0,1,1,0,5.590000073425472e-4,35114.992963321965,21358.705614510352,21358.705614510352,0,0,7184.9459498313245,0,0,2334.26025390625
28,2.34272359e-7,Honduras,NP Blanca Jeannette Kawas,Jeannette Kawas,60,smud_prop,8046969.5421636505,1.885182537443828,113,0,0,0,25.988950729370117,4.456775665283203,1.059588169169556,1,1,0,5.590000073425472e-4,35239.083585980145,22805.380785517988,22805.380785517988,0,0,8640.021613620185,0,0,2334.26025390625
29,0,Honduras,NP Blanca Jeannette Kawas,Jeannette Kawas,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.988950729370117,4.456775665283203,0,1,1,0,5.590000073425472e-4,38071.814171997365,23961.10065051228,23961.10065051228,0,0,9109.012009763439,0,0,2334.26025390625
30,2.014742291e-5,Honduras,NP Blanca Jeannette Kawas,Jeannette Kawas,60,smud_prop,8046969.5421636505,162.12569850986014,9728,0,0,0,25.466670989990234,1.935965418815613,5.094521060120572,1,1,0,4.6099998871795833e-4,46986.66201081346,11477.142323259546,11477.142323259546,0,0,1000,0,0,2413.410888671875
31,0,Honduras,NP Punta Izopo,Punta Izopo,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.466670989990234,1.935965418815613,0,1,1,0,5.22000016644597e-4,55777.67497388275,8093.749503073386,8036.151951549204,0,0,1000,0,0,2413.410888671875
32,0,Honduras,NP Punta Izopo,Punta Izopo,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.466670989990234,1.935965418815613,0,1,1,0,5.82000007852912e-4,53043.43391310879,12202.38896877234,12047.281225124543,0,0,1000,0,0,2413.410888671875
33,0,Guatemala,MPA Río Sarstun,Río Sarstun,81,smud_prop,3703852.27002714,0,0,0,0,0,26.178407669067383,8.65886116027832,0,1,1,0,0.0012509999796748161,117841.93041218774,26107.516960135672,26107.516960135672,0,0,2457.5788122347826,0,0,2948.362548828125
34,0,Guatemala,MPA Río Sarstun,Río Sarstun,81,smud_prop,3703852.27002714,0,0,0,0,0,26.178407669067383,8.65886116027832,0,1,1,0,0.0011579999700188637,113748.1898011614,21722.293341026656,21722.293341026656,0,0,5999.1459366767285,6.389062339524835e-4,0,2948.362548828125
35,0,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.54673194885254,7.665517330169678,0,1,0,0,7.409999961964786e-4,41988.2370205252,28248.999962519567,28248.999962519567,0,0,3887.304336570036,0,0,2448.504150390625
36,2.34272359e-7,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,1.885182537443828,113,0,0,0,25.54673194885254,7.665517330169678,1.059588169169556,1,0,0,7.910000276751816e-4,38850.891352884195,23456.694155168654,23456.694155168654,0,0,3887.3498155880593,0,0,2448.504150390625
37,0,Honduras,Zona de Interconexion,Zona de Interconexion,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.718975067138672,5.72468090057373,0,1,0,0,7.910000276751816e-4,36134.67428213402,18350.786675870928,18350.786675870928,0,0,1000,0,0,2350.91259765625
38,0,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.54673194885254,7.665517330169678,0,1,0,0,7.910000276751816e-4,36154.514356216,20351.73536826863,20351.73536826863,0,0,1000,0,0,2448.504150390625
39,1.09641640365e-4,Honduras,Zona de Interconexion,Zona de Interconexion,60,smud_prop,8046969.5421636505,882.2829405700157,52937,1,0,1,25.718975067138672,5.72468090057373,6.783645580273533,1,0.444063164534602,0,6.639999919570982e-4,33676.63530766404,13749.043590417607,13749.043590417607,0,0,0,0,1,2350.91259765625
40,1.63585571316e-4,Honduras,Zona de Interconexion,Zona de Interconexion,60,smud_prop,8046969.5421636505,1316.3681099172916,78982,0,0,0,25.718975067138672,5.72468090057373,7.183391169079909,1,1,0,6.639999919570982e-4,31709.54866388248,9556.203622733183,9556.203622733183,0,0,0,0.002049721747254832,1,2350.91259765625
41,1.405634157e-6,Honduras,Zona de Interconexion,Zona de Interconexion,60,smud_prop,8046969.5421636505,11.311095248803879,679,0,0,0,25.718975067138672,5.72468090057373,2.510500908521575,1,1,0,6.639999919570982e-4,30444.62493263539,6505.539692594037,6505.539692594037,0,0,1000,0,1,2350.91259765625
42,2.34272359e-7,Honduras,Zona de Interconexion,Zona de Interconexion,60,smud_prop,8046969.5421636505,1.885182537443828,113,0,0,0,25.718975067138672,5.72468090057373,1.059588169169556,1,1,0,5.360000068321824e-4,31517.00706736079,4762.597268405256,4762.597268405256,0,0,1000,0,0,2350.91259765625
43,2.34272359e-7,Honduras,Zona de Interconexion,Zona de Interconexion,60,smud_prop,8046969.5421636505,1.885182537443828,113,0,0,0,25.718975067138672,5.72468090057373,1.059588169169556,1,1,0,5.360000068321824e-4,34079.73807198131,6734.022495384253,6734.022495384253,0,0,1000,0,0,2350.91259765625
44,0,Honduras,NP Blanca Jeannette Kawas,Jeannette Kawas,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.988950729370117,4.456775665283203,0,1,1,0,5.26999996509403e-4,36783.027057312516,17054.103468484962,17054.103468484962,0,0,4005.693054023584,0,0,2334.26025390625
45,7.02817078e-7,Honduras,NP Blanca Jeannette Kawas,Jeannette Kawas,60,smud_prop,8046969.5421636505,5.655547620378455,339,0,0,0,25.988950729370117,4.456775665283203,1.895450735520802,1,1,0,5.590000073425472e-4,35777.577027645384,18781.51132946037,18781.51132946037,0,0,6001.555335724787,0,0,2334.26025390625
46,6.188876174e-6,Honduras,NP Blanca Jeannette Kawas,Jeannette Kawas,60,smud_prop,8046969.5421636505,49.801698072400306,2988,0,0,0,25.988950729370117,4.456775665283203,3.927929780647832,1,1,0,5.590000073425472e-4,38429.27473045754,21417.62366279292,21417.62366279292,0,0,8683.515836450748,0,0,2334.26025390625
47,1.171361797e-6,Honduras,NP Blanca Jeannette Kawas,Jeannette Kawas,60,smud_prop,8046969.5421636505,9.425912703313081,566,0,0,0,25.988950729370117,4.456775665283203,2.344294313331106,1,1,0,4.6099998871795833e-4,41673.28986241621,16421.60439745544,16421.60439745544,0,0,4079.911339628575,0,0,2334.26025390625
48,5.486059096e-6,Honduras,NP Blanca Jeannette Kawas,Jeannette Kawas,60,smud_prop,8046969.5421636505,44.14615045202185,2649,0,0,0,25.466670989990234,1.935965418815613,3.809905014921771,1,1,0,4.6099998871795833e-4,45187.510503043515,11429.067267802602,11429.067267802602,0,0,1000,0,0,2413.410888671875
49,2.35841429e-5,Honduras,NP Blanca Jeannette Kawas,Jeannette Kawas,60,smud_prop,8046969.5421636505,189.7808795943351,11387,0,0,0,25.466670989990234,1.935965418815613,5.251125542222919,1,1,0,5.14000013936311e-4,48641.014471062415,6448.1056316927225,6448.1056316927225,0,0,1000,0,0,2413.410888671875
50,2.3388553242e-5,Honduras,NP Blanca Jeannette Kawas,Jeannette Kawas,60,smud_prop,8046969.5421636505,188.2069755736469,11292,0,1,0,25.466670989990234,1.935965418815613,5.24284152472063,1,0.994778745990132,0,4.729999927803874e-4,52858.81787392682,1674.7596363405944,1674.7596363405944,0,0,0,0,1,2413.410888671875
51,1.171361797e-6,Honduras,NP Punta Izopo,Punta Izopo,60,smud_prop,8046969.5421636505,9.425912703313081,566,0,0,0,25.466670989990234,1.935965418815613,2.344294313331106,1,1,0,5.22000016644597e-4,58247.92298746965,5631.011748089805,5472.89056038187,0,0,1000,0,0,2413.410888671875
52,1.3217046957e-5,Honduras,NP Punta Izopo,Punta Izopo,60,smud_prop,8046969.5421636505,106.35717430032577,6381,0,0,0,25.466670989990234,1.935965418815613,4.676161353021612,1,1,0,5.22000016644597e-4,53247.92298746933,8627.950458474228,8342.144519842392,0,0,0,0,0,2413.410888671875
53,8.531599769e-6,Honduras,NP Punta Izopo,Punta Izopo,60,smud_prop,8046969.5421636505,68.65352348707344,4119,0,0,0,25.633764266967773,2.036668062210083,4.243533287418241,1,1,0,5.179999861866236e-4,48279.799529034965,13616.02059117752,13316.821382345091,0,0,0,0.020562750375701804,0,2396.39697265625
54,0,Honduras,NP Punta Izopo,Punta Izopo,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.633764266967773,2.036668062210083,0,1,1,0,5.179999861866236e-4,47705.89937754253,18610.49446857418,18305.30219003791,0,0,1000,0,0,2396.39697265625
55,0,Guatemala,MPA Río Sarstun,Río Sarstun,81,smud_prop,3703852.27002714,0,0,0,0,0,26.178407669067383,8.65886116027832,0,1,1,0,0.0012509999796748161,120772.115106153,27750.210581150444,27750.210581150444,0,0,2340.385350467358,0.019703973721830116,0,2948.362548828125
56,0,Guatemala,MPA Río Sarstun,Río Sarstun,81,smud_prop,3703852.27002714,0,0,0,0,0,26.178407669067383,8.65886116027832,0,1,1,0,0.0012509999796748161,116005.5321872007,22782.102352655893,22782.102352655893,0,0,3886.2390633292903,0,1,2948.362548828125
57,0,Guatemala,MPA Río Sarstun,Río Sarstun,81,smud_prop,3703852.27002714,0,0,0,0,0,26.178407669067383,8.65886116027832,0,1,1,0,9.389999904669821e-4,111625.75700167683,17831.83075053496,17831.83075053496,0,0,8636.371834594276,0,1,2948.362548828125
58,0,Guatemala,MPA Río Sarstun,Río Sarstun,81,smud_prop,3703852.27002714,0,0,0,0,0,26.178407669067383,8.65886116027832,0,1,1,0,9.389999904669821e-4,109322.26554161316,14568.231050932576,14568.231050932576,0,0,13759.088937171882,0,1,2948.362548828125
59,4.548969658e-6,Guatemala,MPA Río Sarstun,Río Sarstun,81,smud_prop,3703852.27002714,16.848711594067883,1365,0,0,0,26.303125381469727,8.53183364868164,2.881931326016535,1,1,0,9.089999948628247e-4,102599.68786215705,8116.291550533195,8116.291550533195,0,0,20082.21747100006,9.182910021293907e-6,1,2802.083251953125
60,2.7762362669e-5,Guatemala,MPA Río Sarstun,Río Sarstun,81,smud_prop,3703852.27002714,102.82768999289239,8329,0,0,0,26.303125381469727,8.53183364868164,4.642732698094188,1,1,0,9.089999948628247e-4,99583.4391139533,4640.517815156249,4640.517815156249,0,0,19509.577035982486,7.35137595934764e-4,1,2802.083251953125
61,0,Honduras,Zona de Interconexion,Zona de Interconexion,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.718975067138672,5.72468090057373,0,1,0,0,6.639999919570982e-4,38671.211368883014,14889.45850920679,14889.45850920679,0,0,1000,0,0,2350.91259765625
62,5.21112149687e-4,Honduras,Zona de Interconexion,Zona de Interconexion,60,smud_prop,8046969.5421636505,4193.3735965827145,251602,1,0,1,25.718975067138672,5.72468090057373,8.341499286317356,1,0.189525546290515,0,6.639999919570982e-4,36631.16568659175,9948.909624943557,9948.909624943557,0,0,0,0.08694997695137902,1,2350.91259765625
63,1.51458168444e-4,Honduras,Zona de Interconexion,Zona de Interconexion,60,smud_prop,8046969.5421636505,1218.7792683807597,73127,0,0,1,25.718975067138672,5.72468090057373,7.106425193801183,1,0.472445088212074,0,6.639999919570982e-4,35188.37891094483,5125.000561288019,5125.000561288019,0,0,0,0.0032008298924781375,1,2350.91259765625
64,4.45178771186e-4,Honduras,Zona de Interconexion,Zona de Interconexion,60,smud_prop,8046969.5421636505,3582.3400125515827,214940,0,0,1,25.718975067138672,5.72468090057373,8.184050608853845,1,0.879348950176451,0,5.360000068321824e-4,34418.04354117068,1505.5396925933683,1505.5396925933683,0,0,0,0.021475214113458357,1,2350.91259765625
65,5.7494522888e-5,Honduras,Zona de Interconexion,Zona de Interconexion,60,smud_prop,8046969.5421636505,462.6566745209669,27759,0,0,0,25.718975067138672,5.72468090057373,6.139144352744834,1,1,0,5.360000068321824e-4,34365.41040091981,1734.0224953844026,1734.0224953844026,0,0,1000,0.002577291601738825,1,2350.91259765625
66,2.9518317287e-5,Honduras,Zona de Interconexion,Zona de Interconexion,60,smud_prop,8046969.5421636505,237.53300014441174,14252,0,0,0,25.718975067138672,5.72468090057373,5.474507666142163,1,1,0,5.26999996509403e-4,35844.97194606848,5552.952980981686,5552.952980981686,0,0,0,0.02738454277618241,0,2350.91259765625
67,1.3119252128e-5,Honduras,NP Blanca Jeannette Kawas,Jeannette Kawas,60,smud_prop,8046969.5421636505,105.57022228998166,6334,0,0,0,25.988950729370117,4.456775665283203,4.668804132089577,1,1,0,5.26999996509403e-4,38436.29968363377,9157.180925031847,9157.180925031847,0,0,0,0.056071945103201314,0,2334.26025390625
68,4.68544719e-7,Honduras,NP Blanca Jeannette Kawas,Jeannette Kawas,60,smud_prop,8046969.5421636505,3.770365082934626,226,0,0,0,25.988950729370117,4.456775665283203,1.562422839274276,1,1,0,5.26999996509403e-4,37625.157299304505,10398.082267270942,10398.082267270942,0,0,1000,0,0,2334.26025390625
69,4.68544719e-7,Honduras,NP Blanca Jeannette Kawas,Jeannette Kawas,60,smud_prop,8046969.5421636505,3.770365082934626,226,0,0,0,25.988950729370117,4.456775665283203,1.562422839274276,1,1,0,4.6999999904073775e-4,38342.15127622396,15342.91181180341,15342.91181180341,0,0,4331.777560305956,0,0,2334.26025390625
70,0,Honduras,NP Blanca Jeannette Kawas,Jeannette Kawas,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.988950729370117,4.456775665283203,0,1,1,0,4.6999999904073775e-4,40772.65339131294,20314.767310819025,20314.767310819025,0,0,8640.02161674977,0,0,2334.26025390625
71,0,Honduras,NP Blanca Jeannette Kawas,Jeannette Kawas,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.988950729370117,4.456775665283203,0,1,1,0,4.6099998871795833e-4,43411.23921546293,18917.329074183144,18917.329074183144,0,0,8640.253657587265,0,0,2334.26025390625
72,5.486059096e-6,Honduras,NP Blanca Jeannette Kawas,Jeannette Kawas,60,smud_prop,8046969.5421636505,44.14615045202185,2649,0,0,0,25.988950729370117,4.456775665283203,3.809905014921771,1,1,0,4.6099998871795833e-4,46431.83607228846,13921.918938364579,13921.918938364579,0,0,6001.760224713034,0,0,2334.26025390625
73,1.8430150993e-5,Honduras,NP Blanca Jeannette Kawas,Jeannette Kawas,60,smud_prop,8046969.5421636505,148.30686369814816,8898,0,1,0,25.466670989990234,1.935965418815613,5.00600367601455,1,1,0,4.6099998871795833e-4,49772.433252409515,8931.646799546306,8931.646799546306,0,0,1000,0,1,2413.410888671875
74,1.79611710431e-4,Honduras,NP Blanca Jeannette Kawas,Jeannette Kawas,60,smud_prop,8046969.5421636505,1445.3299632541743,86720,0,1,1,25.466670989990234,1.935965418815613,7.276784567042835,1,0.723388871594528,0,4.729999927803874e-4,53372.97839438429,3965.9553927591064,3965.9553927591064,0,0,0,0.03333277136950492,1,2413.410888671875
75,1.01931081932e-4,Honduras,NP Blanca Jeannette Kawas,Jeannette Kawas,60,smud_prop,8046969.5421636505,820.2363117065916,49214,0,1,1,25.466670989990234,1.935965418815613,6.710810902027148,1,0.331050243517751,0,4.729999927803874e-4,57184.390645603104,1078.449527198739,1078.449527198739,0,0,1000,0.121272178352824,1,2413.410888671875
76,1.00077332484e-4,Honduras,MWLR Bahia de Tela,Bahia de Tela,60,smud_prop,8046969.5421636505,805.3192463597329,48319,0,0,1,25.466670989990234,1.935965418815613,6.692479751379717,1,0.010664528845254,0,5.22000016644597e-4,59540.66259170246,1180.554466461198,982.1258227768211,0,0,1000,0,0,2413.410888671875
77,7.4364308921e-5,Honduras,NP Punta Izopo,Punta Izopo,60,smud_prop,8046969.5421636505,598.4073289113356,35904,1,1,1,25.466670989990234,1.935965418815613,6.395941381887118,1,0.505072961729515,1,5.22000016644597e-4,61078.84613498016,4339.687149049639,3899.215660382336,0,0,1000,0.01428642956646169,1,2413.410888671875
78,1.960151279e-5,Honduras,MWLR Bahia de Tela,Bahia de Tela,60,smud_prop,8046969.5421636505,157.73277640146125,9464,1,0,1,25.466670989990234,1.935965418815613,5.067222136777875,1,0.015636756553036,0,5.22000016644597e-4,61694.33596509395,1930.72808665209,1495.2289558918126,0,0,1000,0,0,2413.410888671875
79,3.0241563793e-5,Honduras,NP Punta Izopo,Punta Izopo,60,smud_prop,8046969.5421636505,243.35294274967006,14601,0,0,0,25.466670989990234,1.935965418815613,5.498613666818067,1,1,1,5.22000016644597e-4,55887.82254976978,6835.139072170557,6409.71153531284,0,0,0,0.02199911193089739,1,2413.410888671875
80,0,Honduras,NP Punta Izopo,Punta Izopo,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.633764266967773,2.036668062210083,0,1,1,1,5.179999861866236e-4,50901.5665719626,11117.205811434256,10781.48457497495,0,0,1000,0,0,2396.39697265625
81,5.017514377e-6,Honduras,NP Punta Izopo,Punta Izopo,60,smud_prop,8046969.5421636505,40.375785369087225,2423,0,0,0,25.633764266967773,2.036668062210083,3.722695815247281,1,1,0,5.179999861866236e-4,47049.45945980205,16110.45476326612,15779.314502846524,0,0,1000,0,1,2396.39697265625
82,3.3892126715e-5,Honduras,Archipelago Cayos Cochinos Natural Marine Monument,Cayos Cochinos,60,smud_prop,8046969.5421636505,272.728911394756,16364,0,0,1,24.102951049804688,2.456724643707275,5.612138242162394,1,0.10296665582586,0,5.239999736659229e-4,17058.26543371659,14504.525726729917,14504.525726729917,0,0,1000,0.009359769668745856,1,1851.34912109375
83,9.535102644e-5,Honduras,Archipelago Cayos Cochinos Natural Marine Monument,Cayos Cochinos,60,smud_prop,8046969.5421636505,767.2868055767209,46037,0,0,1,24.102951049804688,2.456724643707275,6.644163108195889,1,0.142427792600138,0,4.93000028654933e-4,19823.99006778082,17292.192581862546,17292.192581862546,0,0,1000,0.005784162022338368,1,1851.34912109375
84,1.81290299647e-4,Honduras,Archipelago Cayos Cochinos Natural Marine Monument,Cayos Cochinos,60,smud_prop,8046969.5421636505,1458.8375195491305,87530,0,0,1,25.356178283691406,1.306569337844849,7.286080420529368,1,0.192135815991438,0,4.93000028654933e-4,24899.275860624955,22373.198268023338,22373.198268023338,0,0,1000,0.013571038200685153,1,1789.57568359375
85,4.548969658e-6,Honduras,Archipelago Cayos Cochinos Natural Marine Monument,Cayos Cochinos,60,smud_prop,8046969.5421636505,36.605420286152594,2196,0,1,1,25.356178283691406,1.306569337844849,3.627148196552904,1,0.309460231176936,0,5.489999894052744e-4,29850.107648482604,27363.07362442686,27363.07362442686,0,0,1000,0,1,1789.57568359375
86,0,Honduras,Archipelago Cayos Cochinos Natural Marine Monument,Cayos Cochinos,60,smud_prop,8046969.5421636505,0,0,0,1,1,25.356178283691406,1.306569337844849,0,1,0.601733545490508,0,5.489999894052744e-4,34897.10582094427,32416.520424118044,32416.520424118044,0,0,1000,9.726069599918537e-5,1,1789.57568359375
87,3.6626029626e-5,Honduras,Archipelago Cayos Cochinos Natural Marine Monument,Cayos Cochinos,60,smud_prop,8046969.5421636505,294.7285448508055,17684,0,1,1,25.356178283691406,1.306569337844849,5.689441955343829,1,0.196797345302816,0,5.460000247694552e-4,40260.41553927284,37802.93615733592,37802.93615733592,0,0,1643.3627861047112,0,1,1789.57568359375
